"";"Low mean";"Medium mean";"Elevated mean";"pvalue.anova";"pvalue.anova.adj";"Medium-Low";"Elevated-Low";"Elevated-Medium";"Low";"Medium";"Elevated"
"UGlucosinolatebreakdown140.5";"0.025";"0.025";"0.025";"9.82e-01";"9.82e-01";"9.92e-01";"9.80e-01";"9.97e-01";"a";"a";"a"
"H2SO4";"0.408";"0.513";"0.526";"6.24e-03";"1.79e-02";"1.37e-02";"7.92e-03";"8.66e-01";"a";"b";"b"
"Citrate";"0.136";"0.21";"0.15";"1.64e-01";"2.49e-01";"1.69e-01";"9.09e-01";"2.86e-01";"a";"a";"a"
"Dehydroascorbate";"0";"0";"0";"6.72e-01";"7.43e-01";"6.55e-01";"8.28e-01";"9.47e-01";"a";"a";"a"
"dihydroxybenzoate";"0.002";"0.002";"0.001";"3.51e-01";"4.68e-01";"6.64e-01";"3.24e-01";"7.79e-01";"a";"a";"a"
"Fumarate";"0.919";"1.165";"0.505";"2.98e-03";"1.09e-02";"1.50e-01";"2.32e-02";"2.53e-03";"b";"b";"a"
"Galactonate";"0.01";"0.036";"0.029";"1.20e-02";"2.95e-02";"1.13e-02";"4.62e-02";"4.83e-01";"a";"b";"b"
"Gluconate";"0.901";"1.175";"1.079";"1.74e-02";"4.05e-02";"1.53e-02";"8.43e-02";"3.85e-01";"a";"b";"ab"
"Glycerate";"0.099";"0.079";"0.042";"4.66e-03";"1.46e-02";"2.27e-01";"4.06e-03";"2.92e-02";"b";"b";"a"
"Malate";"0.526";"0.697";"0.495";"2.07e-01";"2.99e-01";"3.17e-01";"9.54e-01";"2.21e-01";"a";"a";"a"
"Maleate";"0.001";"0.001";"0";"2.68e-02";"5.74e-02";"9.30e-01";"3.29e-02";"5.12e-02";"b";"ab";"a"
"Pentonate.4";"0.001";"0.002";"0.001";"1.79e-02";"4.09e-02";"1.63e-02";"7.32e-02";"4.64e-01";"a";"b";"ab"
